Time,BLANK1,Stream2Valve,Stream3Valve,Stream1Valve,Stream4Valve,CompressorRecycleValve,Stream9Valve,Stream10Valve,Stream11Valve,SteamFlowValve,ReactorcCoolingWaterValve,CondenserCoolingWaterValve,AgitatorSpeedValve,BLANK2,Stream1,Stream2,Stream3,Stream4,Stream8,Stream6,ReactorPressure,ReactorLevel,ReactorTemperature,Stream9,SeparatorTemperature,SeparatorLevel,SeparatorPressure,Stream10,StripperLevel,StripperPressure,Stream11,StripperTemperature,SteamFlow,CompressorWork,ReactorCoolingWaterOutletTemperature,CondenserCoolingWaterOutletTemperature,Stream6A,Stream6B,Stream6C,Stream6D,Stream6E,Stream6F,Stream9A,Stream9B,Stream9C,Stream9D,Stream9E,Stream9F,Stream9G,Stream9H,Stream11D,Stream11E,Stream11F,Stream11G,Stream11H,BLANK3,IDV1,IDV2,IDV3,IDV4,IDV5,IDV6,IDV7,IDV8,IDV9,IDV10,IDV11,IDV12,IDV13,IDV14,IDV15,IDV16,IDV17,IDV18,IDV19,IDV20,IDV21,IDV22,IDV23,IDV24,IDV25,IDV26,IDV27,IDV28
0,NaN,62.8069839011592,53.286708861352,26.6621725633624,60.4828539928762,47.446,24.2293009065651,37.2081981280914,46.4305263951036,41.106,35.8653215123278,12.9306420475438,18.114,NaN,0.271032873666978,3649.73941468537,4451.32079091473,9.22314238021727,32.3928997631425,47.5597536278132,2798.975799023,64.9958245229824,122.898796438325,0.197826456448772,91.9932672585036,49.9708602767822,2703.52107131477,25.2575586301178,49.6818673177002,3330.81032592391,22.8862073396095,66.6283028440441,0,272.782177204123,102.480028232595,92.2625307053972,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,NaN,109.213711015204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1e-06,NaN,62.8069839011592,53.286708861352,26.6621725633624,60.4828539928762,47.446,24.2293009065651,37.2081981280914,46.4305263951036,41.106,35.8653215123278,12.9306420475438,18.114,NaN,0.271902387272188,3678.52317095158,4443.62709584395,9.20605149683692,31.7857170753756,47.5606090294545,2798.76713886473,64.9265155737609,122.898618252947,0.198068184784774,91.9899898345679,50.4170323913552,2703.99155255959,25.2651049468698,50.232455485856,3330.1981374577,22.907828895856,66.6163572668466,-1.4474617995905,272.771834674273,102.481413817382,92.2567785504057,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,NaN,109.251965773539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6e-06,NaN,62.8069839011592,53.286708861352,26.6621725633624,60.4828539928762,47.446,24.2293009065651,37.2081981280914,46.4305263951036,41.106,35.8653215123278,12.9306420475438,18.114,NaN,0.271781545018197,3633.11147938084,4450.92750533364,9.17570489174041,32.1101983503671,47.6086578675919,2798.53856975237,64.8876430466591,122.894485203513,0.197065870861655,91.9944950233897,49.0481656965355,2703.92176679434,25.3303147414803,48.6967320492402,3331.10336456882,22.8494699375907,66.6269830774066,0.63381941088542,272.691367034621,102.484178955956,92.272134677182,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,NaN,108.962059441768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1e-05,NaN,62.8069839011592,53.286708861352,26.6621725633624,60.4828539928762,47.446,24.2293009065651,37.2081981280914,46.4305263951036,41.106,35.8653215123278,12.9306420475438,18.114,NaN,0.270533689308696,3647.90838160327,4462.09963820269,9.16055063459262,31.2701812060844,47.3304411319199,2799.20243707145,65.2409639168425,122.906867812095,0.199983699187388,91.9846475041812,50.6945199419509,2703.1607263627,25.3844829140689,47.9658764943317,3330.78994292754,22.8178579683455,66.6202777897028,-0.793376245347938,272.805456511525,102.473331258961,92.251304874166,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,NaN,109.946848062195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000156,NaN,62.8069839011592,53.286708861352,26.6621725633624,60.4828539928762,47.446,24.2293009065651,37.2081981280914,46.4305263951036,41.106,35.8653215123278,12.9306420475438,18.114,NaN,0.271156889588718,3641.31705681715,4453.72745517211,9.25579456870195,27.2283243583539,47.6166657488492,2799.27972165746,64.3765721241362,122.899639559749,0.19700614571872,91.9995982120613,51.0190287168148,2705.03421449156,25.3152589284352,49.6004262239034,3330.22095180465,22.697759585617,66.6359352681841,-1.31370988644147,274.108706440338,102.485170808175,92.262797785374,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,NaN,108.955135913677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000370493749301605,NaN,62.8069839011592,53.286708861352,26.6621725633624,60.4828539928762,47.446,24.2293009065651,37.2081981280914,46.4305263951036,41.106,35.8653215123278,12.9306420475438,18.114,NaN,0.270273642930383,3652.11457870603,4439.51736377236,9.24102925943177,22.0559319873552,47.1459062199282,2800.30299715795,66.030236384633,122.927890383739,0.198216299855108,92.07437438623,48.3844062269256,2709.00176360953,25.0981109057108,47.8484287978807,3328.43092724593,22.9130206120141,66.6406009456832,1.44723572301455,279.288531188468,102.457225193915,92.2600130664478,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,NaN,109.745295426981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0005,NaN,62.7867584587783,53.2973678731822,26.6593692402851,60.453919373869,47.446,24.2253885167236,37.198821465972,46.4206109564893,41.106,100,12.2570344523448,18.114,NaN,0.272530773089857,3623.45157221174,4426.29742565943,9.23023819408429,19.5657086056914,47.2086657062252,2800.13110948845,66.276982045098,122.921692441547,0.196050674950994,92.1192039841676,48.7848883697642,2711.58758242925,25.2865188110885,48.645449260019,3326.71842922843,22.9315568387935,66.6275823123029,2.81232440858636,283.512912975329,102.452182932071,92.2657294921906,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,NaN,109.249698110151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000744836110678641,NaN,62.7867584587783,53.2973678731822,26.6593692402851,60.453919373869,47.446,24.2253885167236,37.198821465972,46.4206109564893,41.106,100,12.2570344523448,18.114,NaN,0.271397896929184,3636.73457408638,4458.1217354712,9.32132983538383,16.1135229443605,47.2864728095255,2802.66289038416,65.0452899888168,122.931691048714,0.197881902459523,92.2278910829698,51.9869862217316,2720.90822790232,25.4060724106388,49.6144937553268,3322.42064479866,22.529534613225,66.6275060907995,5.65531407695525,292.754341674537,102.343832228153,92.2340462883812,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,NaN,110.47814417174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,NaN,62.7636440510495,53.3078714484823,26.6547760116464,60.4107849208559,47.446,32.2872971974143,37.1780714734986,46.4026982923375,41.106,100,100,18.114,NaN,0.271976481425377,3623.9959472624,4439.97071283838,9.19746513583818,13.1920135310284,46.629020775394,2806.90313504086,65.0986101372697,122.983776806232,0.198499007837648,92.3830221168181,50.3650653947017,2731.48073434556,25.309086168386,51.0661124159253,3317.58492687996,22.9438818168274,66.6175115662012,6.1320431842274,303.123667866805,102.109723913072,92.2208934558191,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,NaN,111.25597551788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00127676081978667,NaN,62.7636440510495,53.3078714484823,26.6547760116464,60.4107849208559,47.446,32.2872971974143,37.1780714734986,46.4026982923375,41.106,100,100,18.114,NaN,0.269381934014939,3673.35169295938,4446.15741965944,9.22503004373513,11.342177748505,45.5974524638185,2812.55806596662,64.5468332902039,123.057650350601,0.209247365080365,92.5751980725987,51.0087185172726,2743.05298322651,25.1840282920748,48.9983366066984,3311.62737016906,22.9580648166182,66.6317648403033,6.45840880772824,313.588857438694,101.745843939983,92.1533457770955,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,NaN,115.599594986144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
